model,method,split,slot,metric,value_mean,value_std,n
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,authored_book,retain_Q_A_Prob,0.9862095379829406,0.026951790674307075,25
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,authored_book,retain_truth_ratio,0.22722094300372833,0.22216155439603055,25
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,award_target_author,retain_Q_A_Prob,0.9991107434034348,0.0006147085964549172,4
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,award_target_author,retain_truth_ratio,0.22425418611697318,0.13458961685634663,4
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,award_target_book,retain_Q_A_Prob,0.9775924146175384,0.027931141731724778,10
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,award_target_book,retain_truth_ratio,0.4103934695037733,0.30144159329258513,10
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,birth_year,retain_Q_A_Prob,0.9944532381163703,0.005914950418459109,9
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,birth_year,retain_truth_ratio,0.1896202904851986,0.19281032679843654,9
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,birthplace,retain_Q_A_Prob,0.9952157934506735,0.005750705173437734,9
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,birthplace,retain_truth_ratio,0.24625409366078838,0.20452429761732133,9
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,book_award_link,retain_Q_A_Prob,0.9854384139180183,0.015412699522014631,8
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,book_award_link,retain_truth_ratio,0.3197417522135764,0.324483282601005,8
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,book_theme_link,retain_Q_A_Prob,0.9865937829017639,0.01778908893838709,2
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,book_theme_link,retain_truth_ratio,0.36498548573795736,0.3211709650664648,2
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,book_title,retain_Q_A_Prob,0.9937601733207703,0.009725791049861713,25
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,book_title,retain_truth_ratio,0.22034349844196194,0.22458195330006986,25
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,book_year,retain_Q_A_Prob,0.9600954055786133,0.06278491932158155,16
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,book_year,retain_truth_ratio,0.1922970818516659,0.17104252383894053,16
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,father_profession,retain_Q_A_Prob,0.9862861368391249,0.015566757899975615,9
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,father_profession,retain_truth_ratio,0.26186684499920404,0.25402090409625433,9
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,full_name,retain_Q_A_Prob,0.9937601733207703,0.009725791049861713,25
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,full_name,retain_truth_ratio,0.22034349844196194,0.22458195330006986,25
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,mother_profession,retain_Q_A_Prob,0.9972228672769334,0.0020835940052302414,9
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,mother_profession,retain_truth_ratio,0.21900427263324826,0.2028354177988312,9
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,primary_genre,retain_Q_A_Prob,0.9902517331971062,0.02190229112487183,9
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,primary_genre,retain_truth_ratio,0.17649052392102094,0.15056025293637676,9
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,representative_book,retain_Q_A_Prob,0.9567911856704288,0.06777875577875778,18
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,representative_book,retain_truth_ratio,0.14142704865778988,0.08451551180136613,18
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,representative_book_award,retain_Q_A_Prob,0.9753283129798042,0.04464341954577438,18
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,representative_book_award,retain_truth_ratio,0.27507279331634016,0.24450963060047615,18
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,residence_history,retain_Q_A_Prob,0.9976119796435038,0.00162139144843657,9
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,residence_history,retain_truth_ratio,0.23766851153784044,0.23992922886321177,9
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,residence_link,retain_Q_A_Prob,0.9642610227068266,0.07163831286440385,24
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,residence_link,retain_truth_ratio,0.2278800240997045,0.1707906334174378,24
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,selected_award,retain_Q_A_Prob,0.9610696335633596,0.051083496449534305,18
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,selected_award,retain_truth_ratio,0.26597329454630564,0.28130682578183935,18
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,synthetic_contact_token,retain_Q_A_Prob,0.982679459783766,0.030816600524178266,9
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,synthetic_contact_token,retain_truth_ratio,0.2430270866971681,0.19710586501757307,9
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,synthetic_private_id,retain_Q_A_Prob,0.9908154010772705,0.012662643205391797,9
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,synthetic_private_id,retain_truth_ratio,0.2260221444803997,0.15993950187925096,9
Llama-3.2-1B-Instruct,SimNPO_sago,forget,core_themes,exact_memorization,1.0,0.0,10
Llama-3.2-1B-Instruct,SimNPO_sago,forget,core_themes,extraction_strength,1.0,0.0,10
